created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T04:56:14+00:00,1,464,0,0.000000,0.000000,19-11-2025 10:26:13,0
2025-11-19T04:56:31+00:00,2,482,0,0.000000,0.000000,19-11-2025 10:26:30,0
2025-11-19T04:56:48+00:00,3,493,0,0.000000,0.000000,19-11-2025 10:26:47,0
2025-11-19T04:57:04+00:00,4,487,0,0.000000,0.000000,19-11-2025 10:27:04,0
2025-11-19T04:57:22+00:00,5,581,5,0.000000,0.000000,19-11-2025 10:27:20,1
2025-11-19T04:57:38+00:00,6,1000,33,0.000000,0.000000,19-11-2025 10:27:37,1
2025-11-19T04:57:55+00:00,7,507,0,0.000000,0.000000,19-11-2025 10:27:53,1
2025-11-19T04:58:11+00:00,8,509,0,0.000000,0.000000,19-11-2025 10:28:11,1
2025-11-19T04:58:28+00:00,9,541,2,0.000000,0.000000,19-11-2025 10:28:27,1
2025-11-19T04:58:45+00:00,10,494,0,0.000000,0.000000,19-11-2025 10:28:44,0
2025-11-19T04:59:01+00:00,11,545,3,0.000000,0.000000,19-11-2025 10:29:01,1
2025-11-19T04:59:18+00:00,12,494,0,0.000000,0.000000,19-11-2025 10:29:17,0
2025-11-19T04:59:34+00:00,13,497,0,0.000000,0.000000,19-11-2025 10:29:33,0
2025-11-19T04:59:51+00:00,14,477,0,0.000000,0.000000,19-11-2025 10:29:50,0
2025-11-19T05:00:08+00:00,15,550,3,0.000000,0.000000,19-11-2025 10:30:05,1
2025-11-19T05:00:25+00:00,16,949,29,0.000000,0.000000,19-11-2025 10:30:24,1
2025-11-19T05:00:42+00:00,17,523,1,0.000000,0.000000,19-11-2025 10:30:41,1
2025-11-19T05:01:01+00:00,18,918,27,0.000000,0.000000,19-11-2025 10:30:58,1
2025-11-19T05:01:18+00:00,19,909,27,0.000000,0.000000,19-11-2025 10:31:17,1
2025-11-19T05:01:34+00:00,20,1231,48,0.000000,0.000000,19-11-2025 10:31:33,1
2025-11-19T05:01:51+00:00,21,974,31,0.000000,0.000000,19-11-2025 10:31:50,1
2025-11-19T05:02:23+00:00,22,535,2,0.000000,0.000000,19-11-2025 10:32:20,1
2025-11-19T05:02:40+00:00,23,816,21,0.000000,0.000000,19-11-2025 10:32:39,1
2025-11-19T05:02:56+00:00,24,1057,37,0.000000,0.000000,19-11-2025 10:32:55,1
2025-11-19T05:03:13+00:00,25,493,0,0.000000,0.000000,19-11-2025 10:33:12,0
2025-11-19T05:03:30+00:00,26,1228,48,0.000000,0.000000,19-11-2025 10:33:29,1
2025-11-19T05:03:46+00:00,27,494,0,0.000000,0.000000,19-11-2025 10:33:46,0
2025-11-19T05:04:03+00:00,28,482,0,0.000000,0.000000,19-11-2025 10:34:02,0
2025-11-19T05:04:20+00:00,29,474,0,0.000000,0.000000,19-11-2025 10:34:19,0
2025-11-19T05:04:36+00:00,30,976,31,0.000000,0.000000,19-11-2025 10:34:35,1
2025-11-19T05:04:53+00:00,31,494,0,0.000000,0.000000,19-11-2025 10:34:52,0
2025-11-19T05:05:10+00:00,32,449,0,0.000000,0.000000,19-11-2025 10:35:09,0
2025-11-19T05:05:26+00:00,33,538,2,0.000000,0.000000,19-11-2025 10:35:25,1
2025-11-19T05:05:43+00:00,34,478,0,0.000000,0.000000,19-11-2025 10:35:41,0
2025-11-19T05:05:59+00:00,35,469,0,0.000000,0.000000,19-11-2025 10:35:58,0
2025-11-19T05:06:16+00:00,36,464,0,0.000000,0.000000,19-11-2025 10:36:14,0
2025-11-19T05:06:33+00:00,37,474,0,0.000000,0.000000,19-11-2025 10:36:32,0
